Time,Data
20000101,15.5
20000102,14.3
20000103,15.2
20000104,14.6
20000105,14.7
20000106,14.8
20000107,14.1
20000108,14.6
20000109,15.5
20000110,14.2
20000111,14.7
20000112,15.5
20000113,16.0
20000114,14.7
20000115,14.7
20000116,14.9
20000117,15.2
20000118,14.0
20000119,13.8
20000120,13.9
20000121,14.4
20000122,14.3
20000123,16.1
20000124,15.0
20000125,15.0
20000126,14.8
20000127,14.6
20000128,14.5
20000129,14.8
20000130,14.4
20000131,14.5
20000201,14.3
20000202,14.7
20000203,14.3
20000204,14.1
20000205,14.5
20000206,14.6
20000207,14.2
20000208,14.6
20000209,15.1
20000210,15.4
20000211,15.6
20000212,15.4
20000213,15.2
20000214,15.4
20000215,14.6
20000216,14.9
20000217,14.5
20000218,14.2
20000219,14.8
20000220,14.4
20000221,15.2
20000222,16.3
20000223,14.8
20000224,15.7
20000225,14.9
20000226,15.6
20000227,14.8
20000228,14.6
20000229,14.3
20000301,14.9
20000302,15.2
20000303,15.0
20000304,15.1
20000305,14.2
20000306,13.6
20000307,15.6
20000308,16.0
20000309,15.5
20000310,14.2
20000311,14.3
20000312,15.0
20000313,14.9
20000314,15.1
20000315,14.7
20000316,14.7
20000317,14.8
20000318,15.2
20000319,15.0
20000320,15.0
20000321,16.1
20000322,15.6
20000323,15.3
20000324,14.4
20000325,15.1
20000326,15.4
20000327,15.3
20000328,15.5
20000329,14.4
20000330,14.0
20000331,14.9
20000401,14.0
20000402,14.7
20000403,14.5
20000404,15.3
20000405,14.8
20000406,14.6
20000407,15.4
20000408,15.1
20000409,15.4
20000410,14.3
20000411,14.7
20000412,14.4
20000413,14.5
20000414,14.5
20000415,15.0
20000416,14.6
20000417,15.1
20000418,14.3
20000419,14.9
20000420,14.8
20000421,13.8
20000422,14.9
20000423,14.4
20000424,15.0
20000425,15.5
20000426,14.6
20000427,15.3
20000428,14.8
20000429,14.6
20000430,14.7
20000501,14.5
20000502,14.4
20000503,14.9
20000504,13.6
20000505,15.6
20000506,15.8
20000507,14.9
20000508,14.9
20000509,14.5
20000510,15.1
20000511,15.1
20000512,15.3
20000513,15.8
20000514,14.7
20000515,14.4
20000516,15.8
20000517,15.7
20000518,16.5
20000519,15.3
20000520,14.8
20000521,15.8
20000522,15.1
20000523,15.7
20000524,14.6
20000525,15.8
20000526,15.0
20000527,14.6
20000528,14.7
20000529,14.3
20000530,15.6
20000531,14.8
20000601,15.3
20000602,15.4
20000603,14.8
20000604,15.2
20000605,15.6
20000606,15.5
20000607,14.5
20000608,14.5
20000609,15.8
20000610,16.5
20000611,15.5
20000612,16.3
20000613,15.4
20000614,14.6
20000615,16.0
20000616,15.7
20000617,15.5
20000618,15.7
20000619,15.8
20000620,16.0
20000621,17.2
20000622,16.1
20000623,15.0
20000624,15.5
20000625,15.0
20000626,16.9
20000627,17.2
20000628,17.4
20000629,17.3
20000630,17.5
20000701,17.9
20000702,17.2
20000703,16.2
20000704,16.7
20000705,16.9
20000706,17.0
20000707,17.0
20000708,16.3
20000709,17.5
20000710,16.5
20000711,16.4
20000712,17.8
20000713,16.9
20000714,18.2
20000715,18.0
20000716,17.8
20000717,16.5
20000718,16.8
20000719,17.6
20000720,17.9
20000721,17.2
20000722,16.5
20000723,16.6
20000724,16.9
20000725,16.3
20000726,16.5
20000727,17.5
20000728,16.5
20000729,17.4
20000730,17.2
20000731,15.7
20000801,16.6
20000802,16.9
20000803,17.1
20000804,17.1
20000805,16.5
20000806,16.1
20000807,16.2
20000808,17.0
20000809,17.8
20000810,17.2
20000811,17.2
20000812,17.1
20000813,17.4
20000814,17.6
20000815,16.6
20000816,17.2
20000817,16.8
20000818,16.5
20000819,16.3
20000820,15.9
20000821,16.3
20000822,15.4
20000823,15.9
20000824,16.2
20000825,15.3
20000826,16.1
20000827,16.5
20000828,16.3
20000829,16.4
20000830,16.2
20000831,17.5
20000901,16.7
20000902,17.4
20000903,16.9
20000904,17.0
20000905,17.4
20000906,17.0
20000907,16.1
20000908,15.8
20000909,16.5
20000910,16.2
20000911,14.5
20000912,16.0
20000913,15.2
20000914,15.2
20000915,14.9
20000916,14.9
20000917,15.0
20000918,16.4
20000919,16.8
20000920,17.2
20000921,18.1
20000922,15.3
20000923,17.0
20000924,16.4
20000925,15.7
20000926,16.0
