Time,Data
20000101,13.3
20000102,12.9
20000103,13.6
20000104,13.2
20000105,12.9
20000106,12.8
20000107,13.1
20000108,13.0
20000109,13.1
20000110,12.9
20000111,12.8
20000112,12.8
20000113,12.7
20000114,12.9
20000115,12.7
20000116,12.9
20000117,12.6
20000118,12.4
20000119,13.0
20000120,12.0
20000121,12.0
20000122,12.2
20000123,12.5
20000124,12.3
20000125,12.7
20000126,12.9
20000127,12.7
20000128,12.9
20000129,12.6
20000130,12.7
20000131,12.9
20000201,13.0
20000202,12.7
20000203,12.7
20000204,12.1
20000205,12.2
20000206,12.2
20000207,12.3
20000208,12.8
20000209,13.2
20000210,12.7
20000211,12.9
20000212,12.7
20000213,12.6
20000214,12.6
20000215,12.7
20000216,12.8
20000217,12.5
20000218,13.4
20000219,12.9
20000220,13.1
20000221,12.9
20000222,12.7
20000223,12.6
20000224,12.9
20000225,12.6
20000226,12.9
20000227,12.6
20000228,12.7
20000229,13.0
20000301,12.9
20000302,13.0
20000303,12.6
20000304,12.6
20000305,13.5
20000306,13.4
20000307,12.7
20000308,13.2
20000309,12.5
20000310,13.2
20000311,13.2
20000312,13.2
20000313,13.3
20000314,13.0
20000315,12.7
20000316,13.5
20000317,12.7
20000318,12.8
20000319,13.3
20000320,12.9
20000321,12.8
20000322,13.4
20000323,13.2
20000324,12.9
20000325,12.7
20000326,12.7
20000327,12.6
20000328,13.2
20000329,13.2
20000330,13.4
20000331,13.7
20000401,13.6
20000402,13.6
20000403,13.8
20000404,12.9
20000405,13.3
20000406,12.9
20000407,13.8
20000408,13.9
20000409,14.3
20000410,13.4
20000411,13.5
20000412,14.2
20000413,14.4
20000414,14.0
20000415,14.8
20000416,14.2
20000417,13.4
20000418,14.1
20000419,13.7
20000420,12.9
20000421,13.9
20000422,13.2
20000423,14.1
20000424,13.7
20000425,13.6
20000426,13.3
20000427,13.8
20000428,13.6
20000429,13.7
20000430,14.0
20000501,13.8
20000502,14.4
20000503,14.2
20000504,13.7
20000505,13.8
20000506,13.9
20000507,13.9
20000508,13.8
20000509,14.1
20000510,13.8
20000511,13.7
20000512,14.1
20000513,14.2
20000514,14.3
20000515,14.4
20000516,14.7
20000517,14.2
20000518,14.0
20000519,13.8
20000520,14.5
20000521,14.2
20000522,14.2
20000523,13.9
20000524,13.8
20000525,14.0
20000526,14.1
20000527,13.9
20000528,13.8
20000529,13.6
20000530,13.5
20000531,13.6
20000601,14.6
20000602,14.2
20000603,14.6
20000604,13.5
20000605,14.1
20000606,14.0
20000607,14.5
20000608,14.7
20000609,14.3
20000610,15.0
20000611,14.2
20000612,15.3
20000613,14.6
20000614,14.6
20000615,14.9
20000616,14.8
20000617,14.8
20000618,15.1
20000619,14.7
20000620,15.0
20000621,15.3
20000622,15.2
20000623,15.6
20000624,15.3
20000625,14.6
20000626,15.0
20000627,15.4
20000628,15.5
20000629,15.2
20000630,15.3
20000701,15.0
20000702,15.7
20000703,14.6
20000704,15.5
20000705,15.3
20000706,15.4
20000707,15.1
20000708,15.1
20000709,15.5
20000710,15.2
20000711,15.2
20000712,14.8
20000713,15.1
20000714,15.6
20000715,15.3
20000716,15.5
20000717,15.3
20000718,15.2
20000719,15.1
20000720,15.0
20000721,15.0
20000722,15.1
20000723,14.9
20000724,15.2
20000725,14.8
20000726,14.9
20000727,14.9
20000728,15.7
20000729,15.2
20000730,14.9
20000731,14.9
20000801,14.9
20000802,15.0
20000803,15.2
20000804,15.1
20000805,15.2
20000806,15.4
20000807,15.1
20000808,15.0
20000809,15.0
20000810,14.7
20000811,15.1
20000812,15.8
20000813,15.2
20000814,15.2
20000815,15.8
20000816,15.5
20000817,15.3
20000818,16.1
20000819,16.2
20000820,16.1
20000821,16.0
20000822,15.7
20000823,16.5
20000824,15.5
20000825,15.9
20000826,15.5
20000827,16.4
20000828,15.2
20000829,15.4
20000830,15.0
20000831,15.6
20000901,16.0
20000902,15.7
20000903,15.6
20000904,15.1
20000905,15.1
20000906,15.1
20000907,15.0
20000908,14.8
20000909,14.4
20000910,14.6
20000911,14.5
20000912,14.6
20000913,14.6
20000914,15.6
20000915,15.0
20000916,15.0
20000917,14.9
20000918,14.7
20000919,14.8
